objective,similarity,correlation
55573,37,-0.527225
54738,27,-0.527225
54988,32,-0.527225
55036,31,-0.527225
52789,40,-0.527225
54565,30,-0.527225
55853,30,-0.527225
52764,31,-0.527225
53917,31,-0.527225
54021,32,-0.527225
53499,32,-0.527225
53060,33,-0.527225
55414,31,-0.527225
54805,34,-0.527225
54185,31,-0.527225
55131,34,-0.527225
53523,34,-0.527225
57042,27,-0.527225
54739,36,-0.527225
57716,32,-0.527225
52671,40,-0.527225
55411,28,-0.527225
54354,34,-0.527225
53026,35,-0.527225
55486,34,-0.527225
52290,39,-0.527225
54187,33,-0.527225
54848,30,-0.527225
53957,32,-0.527225
55929,35,-0.527225
52276,42,-0.527225
50644,37,-0.527225
54648,30,-0.527225
55833,34,-0.527225
54571,30,-0.527225
52804,32,-0.527225
53419,30,-0.527225
54106,32,-0.527225
54831,28,-0.527225
52308,32,-0.527225
52027,33,-0.527225
54346,36,-0.527225
55810,30,-0.527225
52203,31,-0.527225
56830,28,-0.527225
53800,29,-0.527225
55652,32,-0.527225
53854,28,-0.527225
52114,32,-0.527225
55239,34,-0.527225
53963,32,-0.527225
55427,34,-0.527225
52991,38,-0.527225
55898,28,-0.527225
53402,36,-0.527225
55096,29,-0.527225
53660,32,-0.527225
54579,27,-0.527225
51441,47,-0.527225
52293,36,-0.527225
52931,32,-0.527225
54066,30,-0.527225
53204,40,-0.527225
55823,26,-0.527225
53195,31,-0.527225
51896,30,-0.527225
53086,26,-0.527225
54818,36,-0.527225
55190,30,-0.527225
54035,33,-0.527225
53695,30,-0.527225
53539,32,-0.527225
54035,38,-0.527225
54246,32,-0.527225
57119,16,-0.527225
55434,33,-0.527225
53539,32,-0.527225
53416,38,-0.527225
50691,49,-0.527225
55540,25,-0.527225
54902,34,-0.527225
53476,32,-0.527225
54226,32,-0.527225
55247,29,-0.527225
54349,35,-0.527225
54317,29,-0.527225
55323,32,-0.527225
53804,30,-0.527225
52918,34,-0.527225
54335,32,-0.527225
53614,34,-0.527225
52093,38,-0.527225
52785,37,-0.527225
53867,33,-0.527225
53709,40,-0.527225
53916,35,-0.527225
55907,30,-0.527225
54347,35,-0.527225
54499,30,-0.527225
54386,27,-0.527225
53620,31,-0.527225
56543,36,-0.527225
53667,33,-0.527225
52361,36,-0.527225
53985,37,-0.527225
55657,34,-0.527225
56650,25,-0.527225
52863,37,-0.527225
55351,23,-0.527225
54738,28,-0.527225
52312,37,-0.527225
56107,34,-0.527225
53467,34,-0.527225
51772,34,-0.527225
55350,31,-0.527225
54900,30,-0.527225
54416,27,-0.527225
54038,35,-0.527225
54292,28,-0.527225
54966,37,-0.527225
54897,33,-0.527225
52638,44,-0.527225
56773,31,-0.527225
55447,30,-0.527225
52995,34,-0.527225
54975,35,-0.527225
53597,35,-0.527225
54937,34,-0.527225
53322,36,-0.527225
53132,38,-0.527225
55162,35,-0.527225
54535,35,-0.527225
54263,31,-0.527225
53902,29,-0.527225
53899,38,-0.527225
54980,29,-0.527225
53904,35,-0.527225
52844,39,-0.527225
53062,39,-0.527225
55693,30,-0.527225
53354,32,-0.527225
54497,35,-0.527225
52363,34,-0.527225
55929,31,-0.527225
53038,35,-0.527225
55473,30,-0.527225
52731,32,-0.527225
53048,36,-0.527225
55676,32,-0.527225
55426,36,-0.527225
56406,30,-0.527225
51976,38,-0.527225
54831,29,-0.527225
52567,30,-0.527225
57938,31,-0.527225
57426,29,-0.527225
54100,24,-0.527225
52339,33,-0.527225
52929,39,-0.527225
54230,30,-0.527225
54957,33,-0.527225
54436,35,-0.527225
53941,27,-0.527225
54865,27,-0.527225
57230,32,-0.527225
52562,29,-0.527225
55803,23,-0.527225
54483,27,-0.527225
52586,37,-0.527225
53599,30,-0.527225
53277,38,-0.527225
53208,37,-0.527225
53784,36,-0.527225
56586,32,-0.527225
54026,29,-0.527225
55198,26,-0.527225
55408,29,-0.527225
55918,33,-0.527225
53687,33,-0.527225
54512,32,-0.527225
54524,37,-0.527225
52616,34,-0.527225
54321,37,-0.527225
53999,35,-0.527225
54523,35,-0.527225
54974,35,-0.527225
53461,33,-0.527225
56355,27,-0.527225
53618,33,-0.527225
51238,36,-0.527225
55386,32,-0.527225
54515,32,-0.527225
53058,29,-0.527225
57309,27,-0.527225
51781,37,-0.527225
52577,34,-0.527225
52147,34,-0.527225
51862,30,-0.527225
52807,36,-0.527225
55030,31,-0.527225
53753,37,-0.527225
53986,25,-0.527225
51225,33,-0.527225
51813,33,-0.527225
54454,29,-0.527225
53391,29,-0.527225
52930,43,-0.527225
54121,32,-0.527225
53094,37,-0.527225
54926,34,-0.527225
54672,34,-0.527225
57423,34,-0.527225
56029,33,-0.527225
52695,36,-0.527225
54276,39,-0.527225
54874,36,-0.527225
54823,32,-0.527225
55429,31,-0.527225
52225,35,-0.527225
53492,33,-0.527225
